ncohort,utype,rtype,bd.sel,od.sel,bd.pts,od.pts,earlystop,overdose,poorall,ov.sel,V2
12,1,1,43.6839999999996,57.9920000000011,36.6294999999985,49.6094999999997,5.832,1.43866666666666,49.9580000000005,0.398,utpi
18,1,1,45.7679999999997,60.420000000001,39.475777777778,53.0188888888907,7.246,1.26022222222222,48.8200000000001,0.256,utpi
12,2,1,42.6919999999994,54.4080000000013,35.7469999999985,45.7530000000004,5.312,1.4945,52.1880000000008,0.754,utpi
18,2,1,44.7339999999993,57.2580000000013,38.5424444444445,49.7232222222246,6.532,1.29722222222222,50.2559999999999,0.44,utpi
12,1,1,43.4279999999996,57.9900000000008,36.9323333333316,50.0378333333329,6.048,1.59533333333333,50.2299999999999,0.4,boinet
18,1,1,45.2559999999997,60.0920000000004,39.6425555555557,53.472222222224,7.564,1.33988888888889,48.0819999999996,0.224,boinet
12,2,1,42.5359999999993,54.7840000000012,35.6403333333316,46.0335000000003,6.012,1.60149999999999,52.2380000000002,0.72,boinet
18,2,1,44.0479999999993,56.396000000001,38.1466666666668,49.0214444444466,7.13,1.32233333333333,50.1079999999994,0.52,boinet
12,1,1,43.4599999999996,62.1779999999986,28.2263333333309,47.1776666666651,5.07,8.33733333333342,58.0039999999993,0.858,tepi
18,1,1,45.0919999999994,64.1839999999989,31.3182222222203,50.4293333333323,5.96,7.15144444444473,54.537999999999,0.424,tepi
12,2,1,43.8519999999999,62.8879999999994,29.1136666666643,51.7599999999986,4.788,8.58450000000006,56.4799999999992,1.642,tepi
18,2,1,44.8639999999996,64.3959999999996,31.9961111111092,55.8928888888882,5.592,7.21922222222253,53.515999999999,0.84,tepi
12,1,1,41.3839999999991,57.4780000000005,33.0264999999985,46.9463333333331,11.534,2.05683333333334,46.0100000000006,0.658,boin12
18,1,1,44.483999999999,60.8560000000003,36.0100000000006,50.3965555555562,13.114,1.8465555555556,43.16,0.502,boin12
12,2,1,41.1619999999997,57.6640000000005,32.3151666666652,45.7301666666667,10.736,2.74733333333336,44.5560000000004,1.366,boin12
18,2,1,44.1499999999995,61.3900000000005,35.5606666666669,49.6516666666677,11.85,2.50422222222229,41.1259999999998,1.05,boin12
12,1,1,43.7799999999994,59.0680000000002,37.2474999999976,51.3894999999991,6.124,2.13633333333333,49.5939999999992,0.412,ji3
18,1,1,45.4979999999993,60.954,40.2194444444444,54.9006666666682,7.206,1.90033333333335,47.6559999999991,0.248,ji3
12,2,1,43.2119999999994,56.4660000000008,36.5909999999978,48.3474999999999,5.866,2.237,50.4099999999992,0.884,ji3
18,2,1,44.7579999999993,58.2820000000007,39.0466666666665,51.4521111111132,6.776,1.87922222222224,49.129999999999,0.578,ji3
12,1,1,40.0939999999997,53.6700000000007,33.9646666666651,46.1856666666661,11.968,1.16749999999999,54.8540000000007,0.298,printe
18,1,1,41.9739999999996,55.9220000000007,36.3673333333334,49.2348888888904,13.186,1.04977777777778,53.184,0.226,printe
12,2,1,39.1099999999993,50.6160000000009,33.2146666666652,42.7148333333335,11.604,1.20866666666666,56.1940000000009,0.732,printe
18,2,1,40.7279999999994,52.664000000001,35.2420000000001,45.4892222222243,12.6,1.01177777777778,54.7240000000001,0.448,printe
12,1,1,40.9699999999997,54.8200000000008,35.5201666666651,48.2133333333327,12.55,1.31116666666666,52.6440000000006,0.332,stein
18,1,1,42.3559999999999,56.4120000000007,37.5251111111112,50.6852222222238,14.946,1.07544444444444,50.89,0.234,stein
12,2,1,40.1159999999995,51.5100000000009,34.3536666666652,44.0836666666669,11.89,1.36466666666666,54.1880000000007,0.708,stein
18,2,1,41.0199999999996,52.6260000000009,36.2624444444446,46.4828888888911,14.25,1.06277777777778,52.7100000000003,0.448,stein
