"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","33.3400000000019","49.1299999999988","27.2875000000005","42.6874999999993","0.4","2.94500000000001","50.4199999999985","0.5","ji3"
"10","1","1","32.6400000000021","49.2299999999988","29.5730000000003","45.872000000001","0.65","3.04599999999994","45.0599999999996","0.41","ji3"
"12","1","1","35.3900000000015","51.4399999999983","31.6716666666653","47.5074999999986","0.82","2.59416666666665","49.1599999999988","0.33","ji3"
"14","1","1","36.5700000000013","53.099999999998","33.4171428571436","49.4642857142873","1.1","2.59928571428571","45.6799999999995","0.3","ji3"
"16","1","1","36.8600000000012","53.5299999999979","34.5306249999987","50.7843749999978","1.05","2.63000000000001","48.4399999999989","0.25","ji3"
"18","1","1","38.110000000001","54.6399999999977","35.5222222222219","51.5738888888902","1.48","2.43833333333335","46.8199999999993","0.24","ji3"
"20","1","1","37.5100000000011","54.8799999999977","36.0920000000008","52.5800000000016","1.66","2.27349999999997","45.8499999999994","0.2","ji3"
"22","1","1","38.7700000000009","55.3999999999975","37.1845454545442","53.4559090909064","1.64","2.24863636363639","46.2399999999994","0.1","ji3"
"24","1","1","38.5900000000009","55.6799999999975","37.5724999999985","54.6258333333303","1.96","2.15958333333333","46.1199999999994","0.14","ji3"
"26","1","1","40.0100000000006","56.7499999999973","38.3480769230773","54.5700000000012","2.12","2.10461538461539","47.0599999999992","0.13","ji3"
"28","1","1","39.7600000000007","57.0799999999972","38.8589285714293","55.7782142857159","2.33","1.86428571428572","46.2999999999994","0.07","ji3"
"30","1","1","39.7800000000007","56.4199999999973","39.6270000000002","55.78","2.13","1.86966666666664","45.8399999999994","0.08","ji3"
"8","2","1","34.5900000000017","45.2699999999996","25.6650000000005","35.4362500000003","0.39","3.46750000000003","51.9299999999982","1.45","ji3"
"10","2","1","35.8300000000014","47.1699999999992","27.9090000000002","38.7980000000004","0.46","3.29899999999993","47.1599999999992","0.980000000000001","ji3"
"12","2","1","38.230000000001","49.4299999999987","29.8141666666653","41.0524999999987","0.62","3.12249999999999","51.0799999999984","0.76","ji3"
"14","2","1","38.150000000001","49.3799999999987","30.9771428571436","42.0807142857155","0.9","2.96285714285714","48.139999999999","0.63","ji3"
"16","2","1","39.3000000000008","51.0899999999984","32.3062499999989","44.1574999999983","1.16","2.98250000000002","50.5799999999985","0.75","ji3"
"18","2","1","41.1000000000004","52.5099999999981","33.880555555555","45.8400000000007","1.36","2.7177777777778","47.7599999999991","0.55","ji3"
"20","2","1","40.7200000000005","52.4999999999981","34.1670000000006","46.4035000000012","1.27","2.52149999999997","47.5899999999991","0.52","ji3"
"22","2","1","40.3500000000005","52.3899999999981","34.970909090908","47.6304545454525","1.43","2.62545454545457","48.189999999999","0.51","ji3"
"24","2","1","42.2400000000002","54.6899999999977","35.8645833333318","48.9220833333308","1.68","2.45916666666668","47.3399999999992","0.45","ji3"
"26","2","1","42.0700000000002","54.3899999999977","36.0619230769233","49.0038461538471","1.78","2.30923076923077","49.0399999999988","0.51","ji3"
"28","2","1","42.4500000000001","54.5899999999977","37.1235714285721","50.0350000000016","1.58","2.16821428571429","47.7599999999991","0.49","ji3"
"30","2","1","43.06","54.8499999999977","37.7520000000002","50.6199999999998","1.88","2.1793333333333","46.5699999999993","0.23","ji3"
