ncohort,utype,rtype,bd.sel,od.sel,bd.pts,od.pts,earlystop,overdose,poorall,ov.sel,V2
12,1,1,43.8499999999992,59.2559999999993,35.4144999999983,51.5364999999988,1.238,4.48033333333338,42.1720000000001,0.882,utpi
18,1,1,46.4679999999992,62.8679999999995,38.5511111111106,54.8554444444448,1.476,3.51955555555566,43.7379999999997,0.562,utpi
12,2,1,42.6639999999996,58.7200000000003,34.7963333333312,50.8753333333332,1.192,4.71733333333341,49.1019999999992,1.78999999999999,utpi
18,2,1,44.9959999999993,61.1460000000005,38.0125555555552,54.1468888888907,1.592,3.8640000000001,47.5059999999992,1.31,utpi
12,1,1,43.3159999999992,58.5159999999991,35.5218333333312,51.3631666666649,1.268,4.95850000000005,48.7739999999989,0.724,boinet
18,1,1,45.7219999999991,61.2779999999991,38.453333333333,54.1591111111111,1.612,4.20233333333344,47.0339999999992,0.43,boinet
12,2,1,42.6859999999998,58.3700000000001,35.0326666666646,51.4783333333332,1.26,5.38616666666672,48.7819999999989,2.03599999999999,boinet
18,2,1,44.6459999999996,61.454,37.6833333333329,55.2444444444463,1.696,4.41477777777789,47.2979999999992,1.354,boinet
12,1,1,43.1519999999993,59.779999999998,28.0749999999979,44.1964999999981,1.396,7.24616666666668,55.1819999999979,0.978,tepi
18,1,1,44.8099999999992,62.2479999999982,30.6386666666646,46.8036666666657,1.788,6.84966666666687,56.5319999999986,0.558,tepi
12,2,1,42.7880000000001,61.1999999999993,29.1821666666646,50.6704999999986,1.502,7.27233333333335,53.0139999999982,2.19799999999999,tepi
18,2,1,45.0899999999996,64.1399999999994,32.3633333333312,55.4997777777778,1.78,6.91577777777798,53.6659999999989,1.462,tepi
12,1,1,44.0199999999991,59.9819999999991,34.4109999999981,50.3309999999988,1.306,4.1380000000001,41.9979999999997,0.998,boin12
18,1,1,47.2379999999988,64.0759999999997,37.1585555555553,53.3562222222222,1.78,3.31444444444456,39.3099999999996,0.744,boin12
12,2,1,43.8859999999998,62.6699999999998,33.481499999998,50.683833333333,1.268,5.48750000000007,41.4979999999998,2.59999999999998,boin12
18,2,1,47.0459999999992,66.0940000000004,36.5095555555549,53.3563333333341,1.748,4.36900000000017,37.5220000000001,2.09399999999999,boin12
12,1,1,43.4339999999993,59.1919999999987,35.0109999999978,51.1784999999982,1.02,6.22533333333336,49.2479999999988,0.766,ji3
18,1,1,45.3639999999992,61.6819999999987,37.4928888888882,53.8316666666664,1.228,5.5155555555557,48.327999999999,0.494,ji3
12,2,1,43.1519999999999,59.8479999999996,34.9036666666646,52.4686666666666,1.134,6.62483333333337,48.7299999999989,2.07799999999999,ji3
18,2,1,44.7039999999997,62.0359999999996,37.2409999999992,56.0111111111127,1.38,5.88966666666683,47.879999999999,1.366,ji3
12,1,1,42.5119999999991,57.9139999999994,33.5278333333313,47.9438333333315,1.388,3.52950000000004,51.1299999999988,0.688,printe
18,1,1,44.475999999999,60.4899999999993,36.0296666666662,50.7391111111108,1.67,3.24366666666672,49.9099999999986,0.402,printe
12,2,1,41.9339999999998,57.7480000000002,33.5634999999981,48.4713333333333,1.498,3.6541666666667,50.7219999999987,1.92199999999999,printe
18,2,1,44.1719999999997,60.8000000000001,36.2088888888883,52.5510000000018,1.788,3.44755555555561,49.0999999999988,1.312,printe
12,1,1,42.6279999999992,57.762,34.2449999999982,48.6299999999988,1.468,2.64283333333334,48.3980000000004,0.684,stein
18,1,1,45.2719999999993,61.008,37.1527777777775,52.0991111111116,2.028,2.26133333333336,44.9320000000002,0.432,stein
12,2,1,41.8219999999994,56.6000000000008,33.5663333333317,46.6556666666669,1.578,2.65633333333334,49.3000000000003,1.67199999999999,stein
18,2,1,44.4859999999992,59.8300000000009,36.1721111111108,49.7863333333352,2.028,2.33422222222225,46.058,1.314,stein
