ncohort,utype,rtype,bd.sel,od.sel,bd.pts,od.pts,earlystop,overdose,poorall,ov.sel,V2
12,1,1,49.0399999999998,61.4760000000004,40.7271666666652,52.1901666666661,5.048,1.70966666666666,42.3479999999998,0.51,utpi
18,1,1,52.0799999999997,65.1160000000005,44.2457777777785,56.5704444444464,6.02,1.51955555555557,41.4679999999996,0.398,utpi
12,2,1,46.2379999999999,57.4720000000014,38.4563333333321,48.1290000000004,4.398,1.31499999999999,50.5279999999999,0.782,utpi
18,2,1,48.5479999999999,60.1920000000016,41.8534444444453,52.2700000000032,5.268,1.16811111111111,47.8819999999995,0.478,utpi
12,1,1,47.7940000000001,59.6200000000007,41.3634999999986,52.3803333333326,4.804,1.24766666666666,47.6799999999998,0.318,boinet
18,1,1,49.5139999999999,61.6060000000004,44.2337777777789,55.7184444444466,5.956,1.06022222222222,45.7139999999995,0.192,boinet
12,2,1,46.0639999999998,57.2220000000013,38.7711666666654,48.2218333333336,4.634,1.2765,51.1939999999998,0.796,boinet
18,2,1,47.5619999999997,58.7960000000014,41.5767777777787,51.3626666666696,5.552,1.03166666666667,49.4559999999994,0.642,boinet
12,1,1,43.385999999999,56.3299999999994,26.9033333333315,38.8544999999983,10.622,4.86833333333337,54.6359999999977,0.524,tepi
18,1,1,45.717999999999,58.917999999999,29.1263333333316,41.1733333333325,11.604,5.20900000000012,53.5619999999982,0.35,tepi
12,2,1,43.3959999999999,61.3619999999999,28.2786666666648,47.6986666666652,9.4,4.7906666666667,52.0679999999982,1.79199999999999,tepi
18,2,1,46.2379999999994,64.9119999999998,30.946777777776,52.4612222222224,10.208,5.22933333333347,50.5039999999987,1.184,tepi
12,1,1,47.8119999999991,60.9919999999999,37.4051666666647,49.4978333333326,7.934,2.36683333333334,39.9399999999999,0.7,boin12
18,1,1,50.7599999999991,64.0980000000001,41.0093333333341,53.2527777777783,10.294,1.9894444444445,37.2599999999996,0.554,boin12
12,2,1,46.3019999999993,64.8640000000003,36.3218333333316,51.0963333333334,6.56,3.08350000000004,38.3279999999998,2.13399999999999,boin12
18,2,1,49.0779999999988,68.0400000000006,39.9585555555555,55.3484444444456,7.988,2.76888888888897,35.5820000000003,1.76999999999999,boin12
12,1,1,49.1599999999999,61.1660000000002,42.184166666665,53.5941666666658,3.452,1.931,43.9779999999993,0.426,ji3
18,1,1,51.1199999999998,63.4320000000001,45.5823333333343,57.3328888888911,4.524,1.53188888888889,41.8719999999997,0.248,ji3
12,2,1,47.2719999999996,59.4940000000009,39.5448333333318,50.2528333333336,3.134,1.915,47.605999999999,0.978,ji3
18,2,1,49.2299999999996,61.8580000000009,42.6436666666674,53.9875555555588,3.938,1.59622222222222,45.6059999999989,0.766,ji3
12,1,1,48.1720000000001,60.0440000000006,41.0666666666653,52.0163333333326,4.276,1.359,46.8699999999996,0.34,printe
18,1,1,50.34,62.4140000000005,44.4827777777787,55.7946666666688,5.498,1.021,44.3339999999994,0.178,printe
12,2,1,46.2679999999998,57.8400000000014,38.4923333333321,48.1568333333336,3.89,1.30566666666666,50.5139999999995,0.794,printe
18,2,1,47.9299999999998,59.7840000000012,41.3720000000008,51.5696666666698,4.88,1.10911111111111,48.3059999999992,0.718,printe
12,1,1,45.7320000000003,56.9840000000008,40.027833333332,50.5914999999992,10.142,1.10783333333333,49.0499999999998,0.258,stein
18,1,1,46.6180000000004,58.1720000000008,42.4151111111121,53.4353333333354,12.442,0.835777777777775,47.9859999999996,0.128,stein
12,2,1,43.7620000000001,54.7060000000011,37.4513333333321,46.6878333333336,9.228,1.10299999999999,52.6240000000002,0.688,stein
18,2,1,44.5700000000002,55.4940000000012,39.6013333333342,49.1413333333363,11.072,0.858777777777775,51.5619999999998,0.546,stein
